,Login,Namespace,Pontuação
415,Por.joao.gualberto,portinari,1.0021
416,Por.joao.marques,portinari,4.5169
417,Por.juliana.marilena,portinari,3.5713
418,Por.karina.ferreira,portinari,2.0086000000000004
419,Por.katiane.andrade,portinari,2.5266
420,Por.larissa.gabriela,portinari,2.5746
421,Por.lucas.silveira,portinari,6.029399999999999
422,Por.luiz.alberto,portinari,2.5050999999999997
423,Por.luiz.alexandre,portinari,2.5374
424,Por.manuel.silva,portinari,3.509
425,Por.marcelo.paes,portinari,2.5158
426,Por.marcia.cristina,portinari,4.5967
427,Por.marcus.alessandro,portinari,1.5009
428,Por.maria.angelica,portinari,1.5476
429,Por.maria.lourdes,portinari,2.5145999999999997
430,Por.marilene.miranda,portinari,2.5293
431,Por.monica.colucci,portinari,3.5152
432,Por.neomar.amorim,portinari,3.5138000000000003
433,Por.nilzete.araujo,portinari,2.5121
434,Por.paulo.henrique,portinari,2.5025
435,Por.priscila.bona,portinari,2.5317999999999996
436,Por.raiana.raquel,portinari,1.5215
437,Por.rene.carmo,portinari,2.5074
438,Por.ricardo.jose,portinari,3.5044
439,Por.roberto.cesar,portinari,3.0178000000000003
440,Por.rodolfo.augusto,portinari,3.0049
441,Por.rodrigo.prata,portinari,3.0092
442,Por.rodrigo.sampaio,portinari,2.5015
443,Por.rogerio.freitas,portinari,3.5004
444,Por.sandra.maria,portinari,1.5349
445,Por.sara.carvalho,portinari,1.5109
446,Por.sergio.luis,portinari,3.5026
447,Por.tarsis.oliveira,portinari,2.0083
448,Por.thiago.morais,portinari,3.5016
449,Por.ynez.freire,portinari,4.5481
450,Por.yomar.rocha,portinari,2.0091
451,Por.yve.west,portinari,3.5256
452,Presunto,casdinhosjc,3.0324000000000004
453,PriscillaLisboa1,colegioiguatemy,2.5046
454,ProAle,spdacruz,2.5088
455,ProMarcelo,spdacruz,2.5054
456,Prof.andressa,ceespacolivre,3.6246
457,Prof.liliani,ceespacolivre,3.5719000000000003
458,Prof.marcia,ceespacolivre,2.504
459,Prof.patricia,ceespacolivre,4.5281
460,ProfFabiana,integradaeducativa,3.5092
461,ProfPaquito,integradaeducativa,3.0514
462,ProfaLaura,objetivolorena,1.0011
463,ProfessoraDanielli,colegiodasamericas,4.5949
464,ProfessoraIracema,colegiodasamericas,4.526599999999999
465,ProfessoraVeronica,cursobase,2.5025
466,Quarthero10,faculdadeflamingo,3.5139
467,RAFAEL.ALBUQUERQUE.MC,overmarciliofurtado,4.0082
468,RAFAEL.ANDERSON.ABEL,overabelcabral,4.009
469,RAFAEL.ANDERSON.PN,overpontanegra,4.0082
470,RAUL.BASTOS,overnascimentodecastro,1.0038
471,RAWLINSON.BEZERRA,overmossoro,3.0044
