,namespace,segmento,Media de Conteúdos estudados
309,physicsconselheirofurtado,em,121.18
310,physicsconselheirofurtado,fundamental_dois,141.21
311,physicsmacapa,em,95.48
312,physicsmacapa,fundamental_dois,96.57
313,physicsumarizal,em,101.87
314,physicsumarizal,fundamental_dois,185.4
315,physicsumarizal,fundmental_um,318.35
316,pioxi,em,224.34
317,pioxi,fundamental_dois,301.69
318,pioxi,fundmental_um,105.6
319,pioxi,infantil,6.12
320,podion,em,1.0
321,portalsas,em,4.0
322,portinari,em,221.27
323,portinari,fundamental_dois,362.63
324,portinari,fundmental_um,221.06
325,porto,em,203.9
326,porto,fundamental_dois,30.81
327,provaspoliedro,em,2.49
328,provaspoliedro,fundamental_dois,4.57
329,psantagema,em,262.03
330,psantagema,fundamental_dois,212.95
331,raimundoalves,fundamental_dois,1.73
332,riobrancocampinas,fundamental_dois,2.0
333,sagradafamilia,em,61.51
334,sagradafamilia,fundamental_dois,1.11
335,santadoroteia,em,50.02
336,santoagostinho,fundamental_dois,8.0
337,santoamerico,em,734.71
338,santoamerico,fundamental_dois,843.08
339,santoamericoteste,em,10.0
340,santoamericoteste,fundamental_dois,1.0
341,santoantonio,em,11.0
342,santoantonio,fundamental_dois,10.0
343,sas,em,4.0
344,sas,fundamental_dois,13.0
345,sas,infantil,19.57
346,sasadapt,em,26.5
347,sasadaptem,em,29.0
348,sasadaptem,fundamental_dois,11.0
349,sasadaptfund,em,1.0
350,sasadaptfund,fundamental_dois,15.0
351,saseducacao,fundamental_dois,33.0
352,senhorbonfim,fundamental_dois,38.16
353,senhorbonfim,fundmental_um,9.88
354,serios,fundamental_dois,18.0
355,souhabilis,em,1.36
356,spdacruz,em,384.35
357,spdacruz,fundamental_dois,277.73
358,spdacruz,fundmental_um,660.0
359,stellamarisaguaverde,fundamental_dois,493.46
360,stellamarisaguaverde,fundmental_um,299.13
361,stellamarisaguaverde,infantil,70.26
362,stellamarisjuveve,em,311.33
363,stellamarisjuveve,fundamental_dois,280.65
364,stellamarisjuveve,fundmental_um,330.83
365,stellamarisjuveve,infantil,157.9
366,stellamarisxaxim,em,332.36
367,stellamarisxaxim,fundamental_dois,548.9
368,stellamarisxaxim,fundmental_um,325.34
369,tiathais,fundmental_um,3.67
370,tiquinhodegente,fundmental_um,7.32
371,universitariolondrina,em,258.75
372,universitariolondrina,fundamental_dois,502.39
373,universitariolondrina,fundmental_um,382.79
374,universobarcarena,em,239.02
375,universobarcarena,fundamental_dois,221.41
376,universobarcarena,fundmental_um,161.52
377,universobarcarena,infantil,27.32
378,valdemiracoelho,fundamental_dois,21.33
379,venceslauchaves,infantil,1.4
380,vicentecravo,fundamental_dois,15.7
381,villalobos,em,521.01
382,villalobos,fundamental_dois,475.46
383,villalobos,fundmental_um,527.79
384,zacariasliberato,fundamental_dois,20.0
